"date_from,date_to,inflation"
"1990-06,1990-07,3.5"
"1990-07,1990-08,10.9"
"1990-08,1990-09,4.5"
"1990-09,1990-10,4.1"
"1990-10,1990-11,4.9"
"1990-11,1990-12,10.4"
"1990-12,1991-01,13.6"
"1991-01,1991-02,122.9"
"1991-02,1991-03,50.5"
"1991-03,1991-04,2.5"
"1991-04,1991-05,0.8"
"1991-05,1991-06,5.9"
"1991-06,1991-07,8.4"
"1991-07,1991-08,7.5"
"1991-08,1991-09,3.8"
"1991-09,1991-10,3.3"
"1991-10,1991-11,5.0"
"1991-11,1991-12,4.9"
"1991-12,1992-01,4.8"
"1992-01,1992-02,5.8"
"1992-02,1992-03,3.9"
"1992-03,1992-04,3.2"
"1992-04,1992-05,11.9"
"1992-05,1992-06,5.8"
"1992-06,1992-07,2.8"
"1992-07,1992-08,1.2"
"1992-08,1992-09,3.4"
"1992-09,1992-10,6.2"
"1992-10,1992-11,6.7"
"1992-11,1992-12,4.6"
"1992-12,1993-01,6.9"
"1993-01,1993-02,4.7"
"1993-02,1993-03,5.6"
"1993-03,1993-04,3.9"
"1993-04,1993-05,5.3"
"1993-05,1993-06,4.1"
"1993-06,1993-07,1.0"
"1993-07,1993-08,2.5"
"1993-08,1993-09,3.8"
"1993-09,1993-10,4.2"
"1993-10,1993-11,4.6"
"1993-11,1993-12,3.9"
"1993-12,1994-01,3.8"
"1994-01,1994-02,4.6"
"1994-02,1994-03,7.5"
"1994-03,1994-04,21.7"
"1994-04,1994-05,7.9"
"1994-05,1994-06,4.1"
"1994-06,1994-07,0.6"
"1994-07,1994-08,5.2"
"1994-08,1994-09,11.0"
"1994-09,1994-10,6.9"
"1994-10,1994-11,5.5"
"1994-11,1994-12,5.0"
"1994-12,1995-01,5.3"
"1995-01,1995-02,3.4"
"1995-02,1995-03,3.0"
"1995-03,1995-04,0.7"
"1995-04,1995-05,1.3"
"1995-05,1995-06,0.5"
"1995-06,1995-07,1.1"
"1995-07,1995-08,0.7"
"1995-08,1995-09,4.8"
"1995-09,1995-10,2.6"
"1995-10,1995-11,2.6"
"1995-11,1995-12,2.8"
"1995-12,1996-01,4.1"
"1996-01,1996-02,0.7"
"1996-02,1996-03,1.8"
"1996-03,1996-04,3.1"
"1996-04,1996-05,11.7"
"1996-05,1996-06,18.7"
"1996-06,1996-07,22.9"
"1996-07,1996-08,17.6"
"1996-08,1996-09,18.5"
"1996-09,1996-10,16.8"
"1996-10,1996-11,10.1"
"1996-11,1996-12,28.1"
"1996-12,1997-01,48.9"
"1997-01,1997-02,242.4"
"1997-02,1997-03,7.8"
"1997-03,1997-04,-0.4"
"1997-04,1997-05,1.9"
"1997-05,1997-06,1.4"
"1997-06,1997-07,2.5"
"1997-07,1997-08,5.5"
"1997-08,1997-09,3.8"
"1997-09,1997-10,0.8"
"1997-10,1997-11,1.0"
"1997-11,1997-12,0.2"
"1997-12,1998-01,2.1"
"1998-01,1998-02,1.3"
"1998-02,1998-03,0.2"
"1998-03,1998-04,0.4"
"1998-04,1998-05,-1.7"
"1998-05,1998-06,-3.5"
"1998-06,1998-07,-0.7"
"1998-07,1998-08,0.3"
"1998-08,1998-09,3.2"
"1998-09,1998-10,0.3"
"1998-10,1998-11,-0.5"
"1998-11,1998-12,0.4"
"1998-12,1999-01,2.4"
"1999-01,1999-02,-0.7"
"1999-02,1999-03,-1.0"
"1999-03,1999-04,-0.6"
"1999-04,1999-05,-0.9"
"1999-05,1999-06,-0.9"
"1999-06,1999-07,3.4"
"1999-07,1999-08,0.7"
"1999-08,1999-09,1.5"
"1999-09,1999-10,1.1"
"1999-10,1999-11,0.5"
"1999-11,1999-12,1.3"
"1999-12,2000-01,2.4"
"2000-01,2000-02,1.1"
"2000-02,2000-03,-0.3"
"2000-03,2000-04,-1.0"
"2000-04,2000-05,0.1"
"2000-05,2000-06,0.2"
"2000-06,2000-07,0.6"
"2000-07,2000-08,3.0"
"2000-08,2000-09,2.2"
"2000-09,2000-10,1.2"
"2000-10,2000-11,0.8"
"2000-11,2000-12,0.4"
"2000-12,2001-01,0.6"
"2001-01,2001-02,0.3"
"2001-02,2001-03,0.1"
"2001-03,2001-04,-0.2"
"2001-04,2001-05,0.1"
"2001-05,2001-06,-0.1"
"2001-06,2001-07,-0.2"
"2001-07,2001-08,0.3"
"2001-08,2001-09,1.3"
"2001-09,2001-10,1.7"
"2001-10,2001-11,0.2"
"2001-11,2001-12,0.6"
"2001-12,2002-01,2.7"
"2002-01,2002-02,1.6"
"2002-02,2002-03,0.8"
"2002-03,2002-04,-0.1"
"2002-04,2002-05,-2.1"
"2002-05,2002-06,-1.7"
"2002-06,2002-07,0.1"
"2002-07,2002-08,-0.7"
"2002-08,2002-09,0.8"
"2002-09,2002-10,1.0"
"2002-10,2002-11,0.2"
"2002-11,2002-12,1.2"
"2002-12,2003-01,0.6"
"2003-01,2003-02,0.1"
"2003-02,2003-03,0.4"
"2003-03,2003-04,0.3"
"2003-04,2003-05,-0.6"
"2003-05,2003-06,-2.2"
"2003-06,2003-07,0.9"
"2003-07,2003-08,0.8"
"2003-08,2003-09,0.9"
"2003-09,2003-10,0.7"
"2003-10,2003-11,1.8"
"2003-11,2003-12,1.8"
"2003-12,2004-01,1.4"
"2004-01,2004-02,0.3"
"2004-02,2004-03,-0.1"
"2004-03,2004-04,0.3"
"2004-04,2004-05,0.0"
"2004-05,2004-06,-1.8"
"2004-06,2004-07,1.2"
"2004-07,2004-08,-0.4"
"2004-08,2004-09,0.9"
"2004-09,2004-10,0.2"
"2004-10,2004-11,0.6"
"2004-11,2004-12,1.3"
"2004-12,2005-01,0.7"
"2005-01,2005-02,0.9"
"2005-02,2005-03,0.3"
"2005-03,2005-04,1.1"
"2005-04,2005-05,-0.5"
"2005-05,2005-06,-1.3"
"2005-06,2005-07,0.1"
"2005-07,2005-08,0.6"
"2005-08,2005-09,1.4"
"2005-09,2005-10,1.2"
"2005-10,2005-11,1.0"
"2005-11,2005-12,0.8"
